資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20240131,USD,本行買入,30.89,31.24,31.211,31.107,31.005,30.894,30.789,30.684,30.585,本行賣出,31.56,31.34,31.317,31.221,31.13,31.03,30.937,30.842,30.755
20240130,USD,本行買入,30.74,31.09,31.061,30.957,30.855,30.744,30.639,30.534,30.435,本行賣出,31.41,31.19,31.167,31.071,30.98,30.88,30.787,30.692,30.605
20240129,USD,本行買入,30.85,31.2,31.171,31.067,30.965,30.854,30.749,30.644,30.545,本行賣出,31.52,31.3,31.277,31.181,31.09,30.99,30.897,30.802,30.715
20240126,USD,本行買入,30.89,31.24,31.211,31.107,31.005,30.894,30.789,30.684,30.585,本行賣出,31.56,31.34,31.317,31.221,31.13,31.03,30.937,30.842,30.755
20240125,USD,本行買入,30.91,31.26,31.231,31.127,31.025,30.914,30.809,30.704,30.605,本行賣出,31.58,31.36,31.337,31.241,31.15,31.05,30.957,30.862,30.775
20240124,USD,本行買入,30.94,31.29,31.261,31.157,31.055,30.944,30.839,30.734,30.635,本行賣出,31.61,31.39,31.367,31.271,31.18,31.08,30.987,30.892,30.805
20240123,USD,本行買入,30.925,31.275,31.246,31.142,31.04,30.929,30.824,30.719,30.62,本行賣出,31.595,31.375,31.352,31.256,31.165,31.065,30.972,30.877,30.79
20240122,USD,本行買入,30.94,31.29,31.261,31.157,31.055,30.944,30.839,30.734,30.635,本行賣出,31.61,31.39,31.367,31.271,31.18,31.08,30.987,30.892,30.805
20240119,USD,本行買入,31.035,31.385,31.356,31.252,31.15,31.039,30.934,30.829,30.73,本行賣出,31.705,31.485,31.462,31.366,31.275,31.175,31.082,30.987,30.9
20240118,USD,本行買入,31.175,31.525,31.496,31.392,31.29,31.179,31.074,30.969,30.87,本行賣出,31.845,31.625,31.602,31.506,31.415,31.315,31.222,31.127,31.04
20240117,USD,本行買入,31.19,31.54,31.511,31.407,31.305,31.194,31.089,30.984,30.885,本行賣出,31.86,31.64,31.617,31.521,31.43,31.33,31.237,31.142,31.055
20240116,USD,本行買入,30.995,31.345,31.316,31.212,31.11,30.999,30.894,30.789,30.69,本行賣出,31.665,31.445,31.422,31.326,31.235,31.135,31.042,30.947,30.86
20240115,USD,本行買入,30.82,31.17,31.141,31.037,30.935,30.824,30.719,30.614,30.515,本行賣出,31.49,31.27,31.247,31.151,31.06,30.96,30.867,30.772,30.685
20240112,USD,本行買入,30.725,31.075,31.044,30.952,30.835,30.725,30.615,30.505,30.41,本行賣出,31.395,31.175,31.15,31.066,30.959,30.86,30.77,30.675,30.585
20240111,USD,本行買入,30.695,31.045,31.014,30.922,30.805,30.695,30.585,30.475,30.38,本行賣出,31.365,31.145,31.12,31.036,30.929,30.83,30.74,30.645,30.555
20240110,USD,本行買入,30.72,31.07,31.041,30.938,30.838,30.72,30.608,30.505,30.404,本行賣出,31.39,31.17,31.147,31.05,30.962,30.857,30.755,30.662,30.572
20240109,USD,本行買入,30.62,30.97,30.939,30.847,30.73,30.62,30.51,30.4,30.305,本行賣出,31.29,31.07,31.045,30.961,30.854,30.755,30.665,30.57,30.48
20240108,USD,本行買入,30.595,30.945,30.914,30.822,30.705,30.595,30.485,30.375,30.28,本行賣出,31.265,31.045,31.02,30.936,30.829,30.73,30.64,30.545,30.455
20240105,USD,本行買入,30.61,30.96,30.929,30.837,30.72,30.61,30.5,30.39,30.295,本行賣出,31.28,31.06,31.035,30.951,30.844,30.745,30.655,30.56,30.47
20240104,USD,本行買入,30.595,30.945,30.914,30.822,30.705,30.595,30.485,30.375,30.28,本行賣出,31.265,31.045,31.02,30.936,30.829,30.73,30.64,30.545,30.455
20240103,USD,本行買入,30.61,30.96,30.929,30.837,30.72,30.61,30.5,30.39,30.295,本行賣出,31.28,31.06,31.035,30.951,30.844,30.745,30.655,30.56,30.47
20240102,USD,本行買入,30.465,30.815,30.784,30.692,30.575,30.465,30.355,30.245,30.15,本行賣出,31.135,30.915,30.89,30.806,30.699,30.6,30.51,30.415,30.325
